Timestamp,DeviceName,InitiatingProcessAccountName,InitiatingProcessFileName,InitiatingProcessFolderPath,LocalIP,LocalPort,RemoteIP,RemotePort,RemoteUrl,Protocol,InitiatingProcessCommandLine
"Aug 21, 2025 1:11:48 PM",abbas-test-vm-m,azureuser,tor.exe,c:\users\azureuser\desktop\tor browser\browser\torbrowser\tor\tor.exe,10.0.1.115,52133,176.9.50.140,9993,,Tcp,"""tor.exe"" -f ""C:\Users\azureuser\Desktop\Tor Browser\Browser\TorBrowser\Data\Tor\torrc"" DataDirectory ""C:\Users\azureuser\Desktop\Tor Browser\Browser\TorBrowser\Data\Tor"" ClientOnionAuthDir ""C:\Users\azureuser\Desktop\Tor Browser\Browser\TorBrowser\Data\Tor\onion-auth"" --defaults-torrc ""C:\Users\azureuser\Desktop\Tor Browser\Browser\TorBrowser\Data\Tor\torrc-defaults"" GeoIPFile ""C:\Users\azureuser\Desktop\Tor Browser\Browser\TorBrowser\Data\Tor\geoip"" GeoIPv6File ""C:\Users\azureuser\Desktop\Tor Browser\Browser\TorBrowser\Data\Tor\geoip6"" +__ControlPort 127.0.0.1:9151 HashedControlPassword ********** +__SocksPort ""127.0.0.1:9150 ExtendedErrors IPv6Traffic PreferIPv6 KeepAliveIsolateSOCKSAuth"" __OwningControllerProcess 8584 DisableNetwork 1"
"Aug 21, 2025 1:11:32 PM",abbas-test-vm-m,,,,10.0.1.115,52147,95.216.19.41,9030,,TcpV4,
"Aug 21, 2025 1:11:32 PM",abbas-test-vm-m,,,,10.0.1.115,52144,85.215.145.68,9001,,TcpV4,
"Aug 21, 2025 1:11:32 PM",abbas-test-vm-m,,,,10.0.1.115,52145,94.130.89.176,9030,,TcpV4,
"Aug 21, 2025 1:11:32 PM",abbas-test-vm-m,,,,10.0.1.115,52141,157.90.183.103,9001,,TcpV4,
"Aug 21, 2025 1:11:32 PM",abbas-test-vm-m,,,,10.0.1.115,52146,89.58.48.237,9001,,TcpV4,
"Aug 21, 2025 1:11:32 PM",abbas-test-vm-m,,,,10.0.1.115,52138,162.19.252.148,9001,,TcpV4,
"Aug 21, 2025 1:11:29 PM",abbas-test-vm-m,azureuser,tor.exe,c:\users\azureuser\desktop\tor browser\browser\torbrowser\tor\tor.exe,10.0.1.115,52146,89.58.48.237,9001,https://www.da6dosp6l3ycgrh55hgi.com,TcpV4,"""tor.exe"" -f ""C:\Users\azureuser\Desktop\Tor Browser\Browser\TorBrowser\Data\Tor\torrc"" DataDirectory ""C:\Users\azureuser\Desktop\Tor Browser\Browser\TorBrowser\Data\Tor"" ClientOnionAuthDir ""C:\Users\azureuser\Desktop\Tor Browser\Browser\TorBrowser\Data\Tor\onion-auth"" --defaults-torrc ""C:\Users\azureuser\Desktop\Tor Browser\Browser\TorBrowser\Data\Tor\torrc-defaults"" GeoIPFile ""C:\Users\azureuser\Desktop\Tor Browser\Browser\TorBrowser\Data\Tor\geoip"" GeoIPv6File ""C:\Users\azureuser\Desktop\Tor Browser\Browser\TorBrowser\Data\Tor\geoip6"" +__ControlPort 127.0.0.1:9151 HashedControlPassword ********** +__SocksPort ""127.0.0.1:9150 ExtendedErrors IPv6Traffic PreferIPv6 KeepAliveIsolateSOCKSAuth"" __OwningControllerProcess 8584 DisableNetwork 1"
"Aug 21, 2025 1:11:29 PM",abbas-test-vm-m,azureuser,tor.exe,c:\users\azureuser\desktop\tor browser\browser\torbrowser\tor\tor.exe,10.0.1.115,52136,45.14.233.250,443,https://www.w7vetyfj7rdxxzx4j3qtk.com,TcpV4,"""tor.exe"" -f ""C:\Users\azureuser\Desktop\Tor Browser\Browser\TorBrowser\Data\Tor\torrc"" DataDirectory ""C:\Users\azureuser\Desktop\Tor Browser\Browser\TorBrowser\Data\Tor"" ClientOnionAuthDir ""C:\Users\azureuser\Desktop\Tor Browser\Browser\TorBrowser\Data\Tor\onion-auth"" --defaults-torrc ""C:\Users\azureuser\Desktop\Tor Browser\Browser\TorBrowser\Data\Tor\torrc-defaults"" GeoIPFile ""C:\Users\azureuser\Desktop\Tor Browser\Browser\TorBrowser\Data\Tor\geoip"" GeoIPv6File ""C:\Users\azureuser\Desktop\Tor Browser\Browser\TorBrowser\Data\Tor\geoip6"" +__ControlPort 127.0.0.1:9151 HashedControlPassword ********** +__SocksPort ""127.0.0.1:9150 ExtendedErrors IPv6Traffic PreferIPv6 KeepAliveIsolateSOCKSAuth"" __OwningControllerProcess 8584 DisableNetwork 1"
"Aug 21, 2025 1:11:28 PM",abbas-test-vm-m,azureuser,tor.exe,c:\users\azureuser\desktop\tor browser\browser\torbrowser\tor\tor.exe,10.0.1.115,52144,85.215.145.68,9001,https://www.4v5p2lm77mr4pc.com,TcpV4,"""tor.exe"" -f ""C:\Users\azureuser\Desktop\Tor Browser\Browser\TorBrowser\Data\Tor\torrc"" DataDirectory ""C:\Users\azureuser\Desktop\Tor Browser\Browser\TorBrowser\Data\Tor"" ClientOnionAuthDir ""C:\Users\azureuser\Desktop\Tor Browser\Browser\TorBrowser\Data\Tor\onion-auth"" --defaults-torrc ""C:\Users\azureuser\Desktop\Tor Browser\Browser\TorBrowser\Data\Tor\torrc-defaults"" GeoIPFile ""C:\Users\azureuser\Desktop\Tor Browser\Browser\TorBrowser\Data\Tor\geoip"" GeoIPv6File ""C:\Users\azureuser\Desktop\Tor Browser\Browser\TorBrowser\Data\Tor\geoip6"" +__ControlPort 127.0.0.1:9151 HashedControlPassword ********** +__SocksPort ""127.0.0.1:9150 ExtendedErrors IPv6Traffic PreferIPv6 KeepAliveIsolateSOCKSAuth"" __OwningControllerProcess 8584 DisableNetwork 1"
"Aug 21, 2025 1:11:28 PM",abbas-test-vm-m,azureuser,tor.exe,c:\users\azureuser\desktop\tor browser\browser\torbrowser\tor\tor.exe,10.0.1.115,52142,45.9.156.16,443,https://www.qqgxixkyfyu66puwb.com,TcpV4,"""tor.exe"" -f ""C:\Users\azureuser\Desktop\Tor Browser\Browser\TorBrowser\Data\Tor\torrc"" DataDirectory ""C:\Users\azureuser\Desktop\Tor Browser\Browser\TorBrowser\Data\Tor"" ClientOnionAuthDir ""C:\Users\azureuser\Desktop\Tor Browser\Browser\TorBrowser\Data\Tor\onion-auth"" --defaults-torrc ""C:\Users\azureuser\Desktop\Tor Browser\Browser\TorBrowser\Data\Tor\torrc-defaults"" GeoIPFile ""C:\Users\azureuser\Desktop\Tor Browser\Browser\TorBrowser\Data\Tor\geoip"" GeoIPv6File ""C:\Users\azureuser\Desktop\Tor Browser\Browser\TorBrowser\Data\Tor\geoip6"" +__ControlPort 127.0.0.1:9151 HashedControlPassword ********** +__SocksPort ""127.0.0.1:9150 ExtendedErrors IPv6Traffic PreferIPv6 KeepAliveIsolateSOCKSAuth"" __OwningControllerProcess 8584 DisableNetwork 1"
"Aug 21, 2025 1:11:28 PM",abbas-test-vm-m,azureuser,tor.exe,c:\users\azureuser\desktop\tor browser\browser\torbrowser\tor\tor.exe,10.0.1.115,52132,141.105.130.188,443,https://www.nl6q2.com,TcpV4,"""tor.exe"" -f ""C:\Users\azureuser\Desktop\Tor Browser\Browser\TorBrowser\Data\Tor\torrc"" DataDirectory ""C:\Users\azureuser\Desktop\Tor Browser\Browser\TorBrowser\Data\Tor"" ClientOnionAuthDir ""C:\Users\azureuser\Desktop\Tor Browser\Browser\TorBrowser\Data\Tor\onion-auth"" --defaults-torrc ""C:\Users\azureuser\Desktop\Tor Browser\Browser\TorBrowser\Data\Tor\torrc-defaults"" GeoIPFile ""C:\Users\azureuser\Desktop\Tor Browser\Browser\TorBrowser\Data\Tor\geoip"" GeoIPv6File ""C:\Users\azureuser\Desktop\Tor Browser\Browser\TorBrowser\Data\Tor\geoip6"" +__ControlPort 127.0.0.1:9151 HashedControlPassword ********** +__SocksPort ""127.0.0.1:9150 ExtendedErrors IPv6Traffic PreferIPv6 KeepAliveIsolateSOCKSAuth"" __OwningControllerProcess 8584 DisableNetwork 1"
"Aug 21, 2025 1:11:28 PM",abbas-test-vm-m,azureuser,tor.exe,c:\users\azureuser\desktop\tor browser\browser\torbrowser\tor\tor.exe,10.0.1.115,52147,95.216.19.41,9030,https://www.m7agxvxviaeuv5g.com,TcpV4,"""tor.exe"" -f ""C:\Users\azureuser\Desktop\Tor Browser\Browser\TorBrowser\Data\Tor\torrc"" DataDirectory ""C:\Users\azureuser\Desktop\Tor Browser\Browser\TorBrowser\Data\Tor"" ClientOnionAuthDir ""C:\Users\azureuser\Desktop\Tor Browser\Browser\TorBrowser\Data\Tor\onion-auth"" --defaults-torrc ""C:\Users\azureuser\Desktop\Tor Browser\Browser\TorBrowser\Data\Tor\torrc-defaults"" GeoIPFile ""C:\Users\azureuser\Desktop\Tor Browser\Browser\TorBrowser\Data\Tor\geoip"" GeoIPv6File ""C:\Users\azureuser\Desktop\Tor Browser\Browser\TorBrowser\Data\Tor\geoip6"" +__ControlPort 127.0.0.1:9151 HashedControlPassword ********** +__SocksPort ""127.0.0.1:9150 ExtendedErrors IPv6Traffic PreferIPv6 KeepAliveIsolateSOCKSAuth"" __OwningControllerProcess 8584 DisableNetwork 1"
"Aug 21, 2025 1:11:28 PM",abbas-test-vm-m,azureuser,tor.exe,c:\users\azureuser\desktop\tor browser\browser\torbrowser\tor\tor.exe,10.0.1.115,52134,92.35.64.65,443,https://www.upa7koqvta.com,TcpV4,"""tor.exe"" -f ""C:\Users\azureuser\Desktop\Tor Browser\Browser\TorBrowser\Data\Tor\torrc"" DataDirectory ""C:\Users\azureuser\Desktop\Tor Browser\Browser\TorBrowser\Data\Tor"" ClientOnionAuthDir ""C:\Users\azureuser\Desktop\Tor Browser\Browser\TorBrowser\Data\Tor\onion-auth"" --defaults-torrc ""C:\Users\azureuser\Desktop\Tor Browser\Browser\TorBrowser\Data\Tor\torrc-defaults"" GeoIPFile ""C:\Users\azureuser\Desktop\Tor Browser\Browser\TorBrowser\Data\Tor\geoip"" GeoIPv6File ""C:\Users\azureuser\Desktop\Tor Browser\Browser\TorBrowser\Data\Tor\geoip6"" +__ControlPort 127.0.0.1:9151 HashedControlPassword ********** +__SocksPort ""127.0.0.1:9150 ExtendedErrors IPv6Traffic PreferIPv6 KeepAliveIsolateSOCKSAuth"" __OwningControllerProcess 8584 DisableNetwork 1"
"Aug 21, 2025 1:11:28 PM",abbas-test-vm-m,azureuser,tor.exe,c:\users\azureuser\desktop\tor browser\browser\torbrowser\tor\tor.exe,10.0.1.115,52145,94.130.89.176,9030,https://www.edkjqzx6nmxapg73qik5.com,TcpV4,"""tor.exe"" -f ""C:\Users\azureuser\Desktop\Tor Browser\Browser\TorBrowser\Data\Tor\torrc"" DataDirectory ""C:\Users\azureuser\Desktop\Tor Browser\Browser\TorBrowser\Data\Tor"" ClientOnionAuthDir ""C:\Users\azureuser\Desktop\Tor Browser\Browser\TorBrowser\Data\Tor\onion-auth"" --defaults-torrc ""C:\Users\azureuser\Desktop\Tor Browser\Browser\TorBrowser\Data\Tor\torrc-defaults"" GeoIPFile ""C:\Users\azureuser\Desktop\Tor Browser\Browser\TorBrowser\Data\Tor\geoip"" GeoIPv6File ""C:\Users\azureuser\Desktop\Tor Browser\Browser\TorBrowser\Data\Tor\geoip6"" +__ControlPort 127.0.0.1:9151 HashedControlPassword ********** +__SocksPort ""127.0.0.1:9150 ExtendedErrors IPv6Traffic PreferIPv6 KeepAliveIsolateSOCKSAuth"" __OwningControllerProcess 8584 DisableNetwork 1"
"Aug 21, 2025 1:11:28 PM",abbas-test-vm-m,azureuser,tor.exe,c:\users\azureuser\desktop\tor browser\browser\torbrowser\tor\tor.exe,10.0.1.115,52140,87.236.199.239,80,https://www.l5okvse52d.com,TcpV4,"""tor.exe"" -f ""C:\Users\azureuser\Desktop\Tor Browser\Browser\TorBrowser\Data\Tor\torrc"" DataDirectory ""C:\Users\azureuser\Desktop\Tor Browser\Browser\TorBrowser\Data\Tor"" ClientOnionAuthDir ""C:\Users\azureuser\Desktop\Tor Browser\Browser\TorBrowser\Data\Tor\onion-auth"" --defaults-torrc ""C:\Users\azureuser\Desktop\Tor Browser\Browser\TorBrowser\Data\Tor\torrc-defaults"" GeoIPFile ""C:\Users\azureuser\Desktop\Tor Browser\Browser\TorBrowser\Data\Tor\geoip"" GeoIPv6File ""C:\Users\azureuser\Desktop\Tor Browser\Browser\TorBrowser\Data\Tor\geoip6"" +__ControlPort 127.0.0.1:9151 HashedControlPassword ********** +__SocksPort ""127.0.0.1:9150 ExtendedErrors IPv6Traffic PreferIPv6 KeepAliveIsolateSOCKSAuth"" __OwningControllerProcess 8584 DisableNetwork 1"
"Aug 21, 2025 1:11:28 PM",abbas-test-vm-m,azureuser,tor.exe,c:\users\azureuser\desktop\tor browser\browser\torbrowser\tor\tor.exe,10.0.1.115,52141,157.90.183.103,9001,https://www.rcczl64s24zxvrtge4nriy.com,TcpV4,"""tor.exe"" -f ""C:\Users\azureuser\Desktop\Tor Browser\Browser\TorBrowser\Data\Tor\torrc"" DataDirectory ""C:\Users\azureuser\Desktop\Tor Browser\Browser\TorBrowser\Data\Tor"" ClientOnionAuthDir ""C:\Users\azureuser\Desktop\Tor Browser\Browser\TorBrowser\Data\Tor\onion-auth"" --defaults-torrc ""C:\Users\azureuser\Desktop\Tor Browser\Browser\TorBrowser\Data\Tor\torrc-defaults"" GeoIPFile ""C:\Users\azureuser\Desktop\Tor Browser\Browser\TorBrowser\Data\Tor\geoip"" GeoIPv6File ""C:\Users\azureuser\Desktop\Tor Browser\Browser\TorBrowser\Data\Tor\geoip6"" +__ControlPort 127.0.0.1:9151 HashedControlPassword ********** +__SocksPort ""127.0.0.1:9150 ExtendedErrors IPv6Traffic PreferIPv6 KeepAliveIsolateSOCKSAuth"" __OwningControllerProcess 8584 DisableNetwork 1"
"Aug 21, 2025 1:11:28 PM",abbas-test-vm-m,azureuser,tor.exe,c:\users\azureuser\desktop\tor browser\browser\torbrowser\tor\tor.exe,10.0.1.115,52138,162.19.252.148,9001,https://www.tm6hvj5riocci64clyr4.com,TcpV4,"""tor.exe"" -f ""C:\Users\azureuser\Desktop\Tor Browser\Browser\TorBrowser\Data\Tor\torrc"" DataDirectory ""C:\Users\azureuser\Desktop\Tor Browser\Browser\TorBrowser\Data\Tor"" ClientOnionAuthDir ""C:\Users\azureuser\Desktop\Tor Browser\Browser\TorBrowser\Data\Tor\onion-auth"" --defaults-torrc ""C:\Users\azureuser\Desktop\Tor Browser\Browser\TorBrowser\Data\Tor\torrc-defaults"" GeoIPFile ""C:\Users\azureuser\Desktop\Tor Browser\Browser\TorBrowser\Data\Tor\geoip"" GeoIPv6File ""C:\Users\azureuser\Desktop\Tor Browser\Browser\TorBrowser\Data\Tor\geoip6"" +__ControlPort 127.0.0.1:9151 HashedControlPassword ********** +__SocksPort ""127.0.0.1:9150 ExtendedErrors IPv6Traffic PreferIPv6 KeepAliveIsolateSOCKSAuth"" __OwningControllerProcess 8584 DisableNetwork 1"
"Aug 21, 2025 1:11:28 PM",abbas-test-vm-m,,,,10.0.1.115,52131,38.68.135.5,9001,,TcpV4,
"Aug 21, 2025 1:11:28 PM",abbas-test-vm-m,azureuser,tor.exe,c:\users\azureuser\desktop\tor browser\browser\torbrowser\tor\tor.exe,10.0.1.115,52135,69.48.205.198,443,https://www.xgav6uffspg.com,TcpV4,"""tor.exe"" -f ""C:\Users\azureuser\Desktop\Tor Browser\Browser\TorBrowser\Data\Tor\torrc"" DataDirectory ""C:\Users\azureuser\Desktop\Tor Browser\Browser\TorBrowser\Data\Tor"" ClientOnionAuthDir ""C:\Users\azureuser\Desktop\Tor Browser\Browser\TorBrowser\Data\Tor\onion-auth"" --defaults-torrc ""C:\Users\azureuser\Desktop\Tor Browser\Browser\TorBrowser\Data\Tor\torrc-defaults"" GeoIPFile ""C:\Users\azureuser\Desktop\Tor Browser\Browser\TorBrowser\Data\Tor\geoip"" GeoIPv6File ""C:\Users\azureuser\Desktop\Tor Browser\Browser\TorBrowser\Data\Tor\geoip6"" +__ControlPort 127.0.0.1:9151 HashedControlPassword ********** +__SocksPort ""127.0.0.1:9150 ExtendedErrors IPv6Traffic PreferIPv6 KeepAliveIsolateSOCKSAuth"" __OwningControllerProcess 8584 DisableNetwork 1"
