Timestamp,DeviceName,InitiatingProcessAccountName,FileName,ProcessCommandLine,FolderPath,InitiatingProcessFileName,InitiatingProcessFolderPath,InitiatingProcessCommandLine,ProcessId,InitiatingProcessId
"Aug 21, 2025 1:13:43 PM",abbas-test-vm-m,azureuser,firefox.exe,"""firefox.exe"" -contentproc --channel=4868 -childID 10 -isForBrowser -prefsHandle 4876 -prefMapHandle 4484 -prefsLen 26327 -prefMapSize 253060 -jsInitHandle 1056 -jsInitLen 234912 -parentBuildID 20250818110000 -win32kLockedDown -appDir ""C:\Users\azureuser\Desktop\Tor Browser\Browser\browser"" - {d543b126-9c7d-414c-9e93-7ba38d47c976} 8584  tab",C:\Users\azureuser\Desktop\Tor Browser\Browser\firefox.exe,firefox.exe,c:\users\azureuser\desktop\tor browser\browser\firefox.exe,firefox.exe,5404,8584
"Aug 21, 2025 1:12:00 PM",abbas-test-vm-m,azureuser,firefox.exe,"""firefox.exe"" -contentproc --channel=3836 -childID 9 -isForBrowser -prefsHandle 4824 -prefMapHandle 1472 -prefsLen 26228 -prefMapSize 253060 -jsInitHandle 1056 -jsInitLen 234912 -parentBuildID 20250818110000 -win32kLockedDown -appDir ""C:\Users\azureuser\Desktop\Tor Browser\Browser\browser"" - {5c0f8358-00c0-47bf-ad23-e49dc99fbf7b} 8584  tab",C:\Users\azureuser\Desktop\Tor Browser\Browser\firefox.exe,firefox.exe,c:\users\azureuser\desktop\tor browser\browser\firefox.exe,firefox.exe,5752,8584
"Aug 21, 2025 1:10:25 PM",abbas-test-vm-m,azureuser,firefox.exe,"""firefox.exe"" -contentproc --channel=2112 -childID 8 -isForBrowser -prefsHandle 4784 -prefMapHandle 4780 -prefsLen 24681 -prefMapSize 253060 -jsInitHandle 1056 -jsInitLen 234912 -parentBuildID 20250818110000 -win32kLockedDown -appDir ""C:\Users\azureuser\Desktop\Tor Browser\Browser\browser"" - {d8f1475c-79ff-4d3f-a68f-dffe3a1bebe2} 8584  tab",C:\Users\azureuser\Desktop\Tor Browser\Browser\firefox.exe,firefox.exe,c:\users\azureuser\desktop\tor browser\browser\firefox.exe,firefox.exe,1176,8584
"Aug 21, 2025 1:10:21 PM",abbas-test-vm-m,azureuser,firefox.exe,"""firefox.exe"" -contentproc --channel=2664 -childID 7 -isForBrowser -prefsHandle 1676 -prefMapHandle 1572 -prefsLen 26108 -prefMapSize 253060 -jsInitHandle 1056 -jsInitLen 234912 -parentBuildID 20250818110000 -win32kLockedDown -appDir ""C:\Users\azureuser\Desktop\Tor Browser\Browser\browser"" - {044665ba-9899-4abc-a789-0931fb14600b} 8584  tab",C:\Users\azureuser\Desktop\Tor Browser\Browser\firefox.exe,firefox.exe,c:\users\azureuser\desktop\tor browser\browser\firefox.exe,firefox.exe,7244,8584
"Aug 21, 2025 1:01:26 PM",abbas-test-vm-m,azureuser,firefox.exe,"""firefox.exe"" -contentproc --channel=4448 -childID 6 -isForBrowser -prefsHandle 4456 -prefMapHandle 4460 -prefsLen 23840 -prefMapSize 253060 -jsInitHandle 1056 -jsInitLen 234912 -parentBuildID 20250818110000 -win32kLockedDown -appDir ""C:\Users\azureuser\Desktop\Tor Browser\Browser\browser"" - {fa3e5c25-71e5-4de3-884d-de247ddb486e} 8584  tab",C:\Users\azureuser\Desktop\Tor Browser\Browser\firefox.exe,firefox.exe,c:\users\azureuser\desktop\tor browser\browser\firefox.exe,firefox.exe,8048,8584
"Aug 21, 2025 1:01:26 PM",abbas-test-vm-m,azureuser,firefox.exe,"""firefox.exe"" -contentproc --channel=3948 -childID 5 -isForBrowser -prefsHandle 3952 -prefMapHandle 3956 -prefsLen 23840 -prefMapSize 253060 -jsInitHandle 1056 -jsInitLen 234912 -parentBuildID 20250818110000 -win32kLockedDown -appDir ""C:\Users\azureuser\Desktop\Tor Browser\Browser\browser"" - {1ec1659a-efee-408c-a048-2794c2ebb235} 8584  tab",C:\Users\azureuser\Desktop\Tor Browser\Browser\firefox.exe,firefox.exe,c:\users\azureuser\desktop\tor browser\browser\firefox.exe,firefox.exe,8288,8584
"Aug 21, 2025 1:01:26 PM",abbas-test-vm-m,azureuser,firefox.exe,"""firefox.exe"" -contentproc --channel=3100 -childID 4 -isForBrowser -prefsHandle 2964 -prefMapHandle 1604 -prefsLen 23840 -prefMapSize 253060 -jsInitHandle 1056 -jsInitLen 234912 -parentBuildID 20250818110000 -win32kLockedDown -appDir ""C:\Users\azureuser\Desktop\Tor Browser\Browser\browser"" - {413ec794-8c70-4d56-b913-b29d88cdda9d} 8584  tab",C:\Users\azureuser\Desktop\Tor Browser\Browser\firefox.exe,firefox.exe,c:\users\azureuser\desktop\tor browser\browser\firefox.exe,firefox.exe,8388,8584
"Aug 21, 2025 1:01:23 PM",abbas-test-vm-m,azureuser,firefox.exe,"""firefox.exe"" -contentproc --channel=3832 -parentBuildID 20250818110000 -sandboxingKind 0 -prefsHandle 3824 -prefMapHandle 3820 -prefsLen 24902 -prefMapSize 253060 -win32kLockedDown -appDir ""C:\Users\azureuser\Desktop\Tor Browser\Browser\browser"" - {5999db84-59fb-4cee-8d2d-6e64170a0a01} 8584  utility",C:\Users\azureuser\Desktop\Tor Browser\Browser\firefox.exe,firefox.exe,c:\users\azureuser\desktop\tor browser\browser\firefox.exe,firefox.exe,8488,8584
"Aug 21, 2025 1:01:22 PM",abbas-test-vm-m,azureuser,firefox.exe,"""firefox.exe"" -contentproc --channel=3728 -parentBuildID 20250818110000 -prefsHandle 3720 -prefMapHandle 3716 -prefsLen 22643 -prefMapSize 253060 -appDir ""C:\Users\azureuser\Desktop\Tor Browser\Browser\browser"" - {d3a84175-4c4e-4fd6-a0b7-403b5cf777d1} 8584  rdd",C:\Users\azureuser\Desktop\Tor Browser\Browser\firefox.exe,firefox.exe,c:\users\azureuser\desktop\tor browser\browser\firefox.exe,firefox.exe,4380,8584
"Aug 21, 2025 1:01:22 PM",abbas-test-vm-m,azureuser,firefox.exe,"""firefox.exe"" -contentproc --channel=3488 -childID 3 -isForBrowser -prefsHandle 3480 -prefMapHandle 3476 -prefsLen 22399 -prefMapSize 253060 -jsInitHandle 1056 -jsInitLen 234912 -parentBuildID 20250818110000 -win32kLockedDown -appDir ""C:\Users\azureuser\Desktop\Tor Browser\Browser\browser"" - {ac07689a-141a-4710-a0b7-3ab395ce301e} 8584  tab",C:\Users\azureuser\Desktop\Tor Browser\Browser\firefox.exe,firefox.exe,c:\users\azureuser\desktop\tor browser\browser\firefox.exe,firefox.exe,7620,8584
"Aug 21, 2025 1:01:22 PM",abbas-test-vm-m,azureuser,tor.exe,"""tor.exe"" -f ""C:\Users\azureuser\Desktop\Tor Browser\Browser\TorBrowser\Data\Tor\torrc"" DataDirectory ""C:\Users\azureuser\Desktop\Tor Browser\Browser\TorBrowser\Data\Tor"" ClientOnionAuthDir ""C:\Users\azureuser\Desktop\Tor Browser\Browser\TorBrowser\Data\Tor\onion-auth"" --defaults-torrc ""C:\Users\azureuser\Desktop\Tor Browser\Browser\TorBrowser\Data\Tor\torrc-defaults"" GeoIPFile ""C:\Users\azureuser\Desktop\Tor Browser\Browser\TorBrowser\Data\Tor\geoip"" GeoIPv6File ""C:\Users\azureuser\Desktop\Tor Browser\Browser\TorBrowser\Data\Tor\geoip6"" +__ControlPort 127.0.0.1:9151 HashedControlPassword ********** +__SocksPort ""127.0.0.1:9150 ExtendedErrors IPv6Traffic PreferIPv6 KeepAliveIsolateSOCKSAuth"" __OwningControllerProcess 8584 DisableNetwork 1",C:\Users\azureuser\Desktop\Tor Browser\Browser\TorBrowser\Tor\tor.exe,firefox.exe,c:\users\azureuser\desktop\tor browser\browser\firefox.exe,firefox.exe,1664,8584
"Aug 21, 2025 1:01:21 PM",abbas-test-vm-m,azureuser,firefox.exe,"""firefox.exe"" -contentproc --channel=1620 -childID 2 -isForBrowser -prefsHandle 2128 -prefMapHandle 2124 -prefsLen 22323 -prefMapSize 253060 -jsInitHandle 1056 -jsInitLen 234912 -parentBuildID 20250818110000 -win32kLockedDown -appDir ""C:\Users\azureuser\Desktop\Tor Browser\Browser\browser"" - {c2dd0dbe-63e7-441d-8cb0-4b1e51d1440c} 8584  tab",C:\Users\azureuser\Desktop\Tor Browser\Browser\firefox.exe,firefox.exe,c:\users\azureuser\desktop\tor browser\browser\firefox.exe,firefox.exe,5276,8584
"Aug 21, 2025 1:01:21 PM",abbas-test-vm-m,azureuser,firefox.exe,"""firefox.exe"" -contentproc --channel=2644 -childID 1 -isForBrowser -prefsHandle 1872 -prefMapHandle 1868 -prefsLen 21490 -prefMapSize 253060 -jsInitHandle 1056 -jsInitLen 234912 -parentBuildID 20250818110000 -win32kLockedDown -appDir ""C:\Users\azureuser\Desktop\Tor Browser\Browser\browser"" - {9eee0c64-8859-4474-9c1c-8e47626800d8} 8584  tab",C:\Users\azureuser\Desktop\Tor Browser\Browser\firefox.exe,firefox.exe,c:\users\azureuser\desktop\tor browser\browser\firefox.exe,firefox.exe,7048,8584
"Aug 21, 2025 1:01:20 PM",abbas-test-vm-m,azureuser,firefox.exe,"""firefox.exe"" -contentproc --channel=2264 -parentBuildID 20250818110000 -prefsHandle 2244 -prefMapHandle 2192 -prefsLen 20998 -prefMapSize 253060 -appDir ""C:\Users\azureuser\Desktop\Tor Browser\Browser\browser"" - {0f82d936-aafe-4c74-ac4f-23a3a3c9bb16} 8584  gpu",C:\Users\azureuser\Desktop\Tor Browser\Browser\firefox.exe,firefox.exe,c:\users\azureuser\desktop\tor browser\browser\firefox.exe,firefox.exe,8732,8584
"Aug 21, 2025 1:01:17 PM",abbas-test-vm-m,azureuser,firefox.exe,firefox.exe,C:\Users\azureuser\Desktop\Tor Browser\Browser\firefox.exe,firefox.exe,c:\users\azureuser\desktop\tor browser\browser\firefox.exe,firefox.exe,8584,9068
"Aug 21, 2025 1:01:17 PM",abbas-test-vm-m,azureuser,firefox.exe,firefox.exe,C:\Users\azureuser\Desktop\Tor Browser\Browser\firefox.exe,explorer.exe,c:\windows\explorer.exe,Explorer.EXE,9068,5492
